id,id_client,id_product,qtd,total,sale_date,mean_quote
0,42,105,11,3405.0,2023-09-10,4.98
1,3,136,9,16873.9,2024-09-15,5.57
2,25,139,7,9475.3,2024-08-13,5.49
4,20,23,5,55893.0,2023-02-03,5.1
5,8,57,4,451403.9,2024-02-12,4.97
6,36,52,3,39056.4,2023-09-26,4.97
8,27,25,3,34560.05,2024-02-28,4.96
9,37,26,7,114932.9,2023-07-11,4.89
10,31,143,3,12643.55,2024-08-25,5.53
11,39,128,5,23254.0,2023-05-07,4.97
12,27,48,13,191573.0,2024-07-29,5.65
13,43,19,2,31221.75,2024-04-28,5.12
14,13,125,15,48479.45,2024-06-05,5.28
15,17,14,3,102061.35,2023-10-14,5.06
16,39,45,2,18816.65,2024-07-10,5.4
17,43,91,11,1409558.7,2023-09-05,4.97
18,25,27,3,47057.3,2024-11-28,5.99
19,37,100,2,198740.0,2023-07-16,4.8
20,39,56,12,490071.75,2024-11-27,5.83
21,17,71,3,390522.0,2024-04-12,5.14
22,29,20,2,61667.0,2024-11-04,5.79
23,7,132,15,23445.0,2023-04-02,5.08
24,45,128,12,55809.0,2023-09-05,4.97
25,8,3,2,18048.0,2024-04-02,5.05
26,19,147,14,40299.95,2024-10-05,5.47
27,23,97,4,541340.0,2023-04-15,4.95
28,41,60,12,1239762.35,2023-03-20,5.25
29,26,109,7,4359.0,2024-03-24,4.99
30,38,35,15,165083.0,2023-07-18,4.8
31,41,91,13,1665842.1,2023-03-20,5.25
32,43,40,11,156024.0,2023-11-02,5.02
33,4,92,8,710833.0,2023-07-26,4.74
34,28,73,3,429480.0,2023-05-11,4.97
35,33,35,10,110055.0,2024-02-04,4.95
36,18,136,7,13123.3,2023-11-24,4.89
37,24,32,13,162532.0,2023-08-29,4.87
38,38,87,9,601739.0,2024-04-30,5.17
39,13,71,8,989322.4,2024-10-16,5.67
40,27,116,5,12878.0,2023-09-09,4.98
41,46,34,3,14753.0,2024-04-06,5.05
42,1,6,12,141843.0,2023-12-08,4.92
43,11,70,14,480976.0,2023-10-08,5.19
44,39,81,8,928328.6,2024-12-03,6.07
45,22,149,11,12160.0,2024-12-09,6.06
46,25,120,5,15622.0,2023-12-15,4.94
47,4,60,15,1631266.0,2024-04-02,5.05
48,13,54,15,1823022.0,2024-05-30,5.2
49,14,74,7,575614.5,2024-08-29,5.64
50,8,19,15,246485.0,2023-12-26,4.84
51,2,52,4,54816.0,2024-08-28,5.53
52,45,106,13,57003.0,2024-03-16,4.99
53,2,25,12,145518.0,2024-03-10,4.98
54,27,144,4,8857.0,2024-09-30,5.45
55,35,54,3,346373.8,2024-11-24,5.81
56,1,125,13,44227.0,2024-11-03,5.81
57,40,110,11,27451.0,2023-07-17,4.83
58,46,45,2,19807.0,2024-08-22,5.55
60,11,49,14,176415.0,2024-03-20,5.01
61,28,56,8,326714.5,2024-05-09,5.16
62,10,113,15,62627.8,2024-05-18,5.12
63,43,42,15,85398.35,2024-01-27,4.91
64,24,106,13,57003.0,2023-10-17,5.04
65,21,4,7,22489.35,2024-10-14,5.6
66,33,114,9,7194.0,2024-12-10,6.05
67,18,85,3,109949.2,2024-04-02,5.05
68,43,139,9,12824.0,2024-01-16,4.9
69,34,139,8,11399.0,2023-09-18,4.85
70,4,98,13,980110.25,2023-08-13,4.89
71,43,70,5,163188.15,2023-09-09,4.98
72,16,48,2,29473.0,2024-10-08,5.52
73,24,10,3,91294.05,2024-12-20,6.08
74,45,54,11,1270038.85,2024-09-25,5.47
75,38,91,10,1348860.0,2024-09-21,5.48
76,28,18,14,353413.3,2024-03-07,4.94
77,6,110,2,4741.45,2024-12-13,6.04
78,43,105,7,2167.0,2024-08-13,5.49
79,10,12,13,35440.0,2024-12-31,6.19
80,46,13,6,46483.0,2024-06-03,5.24
81,28,82,10,490523.0,2024-11-04,5.79
82,33,32,9,106895.9,2024-11-07,5.66
83,17,123,5,13190.75,2023-04-03,5.06
84,25,35,1,10455.7,2023-01-05,5.4
85,18,80,7,904567.0,2024-05-09,5.16
86,15,145,8,34799.0,2023-06-02,4.96
87,7,20,14,431668.0,2023-11-24,4.89
88,29,147,5,15150.0,2024-03-11,4.98
89,30,75,8,262147.0,2023-12-21,4.88
90,2,72,3,284044.3,2024-07-22,5.56
91,23,36,15,339021.0,2023-01-06,5.29
92,40,2,7,93087.65,2023-04-19,5.05
93,37,113,11,45927.75,2023-11-01,5.02
94,36,90,8,632779.0,2023-02-08,5.2
95,25,131,12,11563.0,2024-12-17,6.17
96,11,82,8,392418.4,2023-08-22,4.94
97,25,48,2,29473.0,2024-09-18,5.48
98,21,142,2,1570.35,2024-02-13,4.97
99,49,81,9,1099336.0,2024-06-01,5.24
100,22,93,4,381812.6,2023-01-21,5.2
101,11,47,8,48984.0,2024-04-07,5.05
102,9,67,9,733495.95,2024-02-02,4.95
103,36,146,5,2356.0,2023-12-04,4.91
104,11,24,11,242776.3,2024-03-02,4.96
105,23,77,6,254816.6,2023-10-31,5.06
106,48,143,8,35491.0,2023-03-29,5.15
107,38,98,8,634889.0,2024-10-08,5.52
108,4,139,6,8121.55,2023-01-19,5.21
