id,id_client,id_product,qtd,total,sale_date,mean_quote,product_name,category,start_date,usd_price
666,14,15,5,132524.05,2023-01-01,5.34,Radar Garmin Tidal Thrust,eletrônicos,2022-12-06,5325.4
7765,30,22,2,74960.7,2023-01-01,5.34,Transponder Furuno Force Ion,eletrônicos,2022-08-22,7630.67
4294,7,44,5,51332.3,2023-01-01,5.34,GPS Simrad Zen Hydra Peak,eletrônicos,2022-01-17,1963.02
3549,10,53,13,662886.25,2023-01-01,5.34,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,propulsão,2022-07-19,9958.63
8211,14,67,3,257367.0,2023-01-01,5.34,Motor de Popa Yamaha Mako 108HP,propulsão,2022-06-17,16720.73
5256,19,78,12,1461139.0,2023-01-01,5.34,Motor Elétrico Honda Mako Axis 131HP,propulsão,2022-10-14,23053.04
1230,17,91,4,512566.8,2023-01-01,5.34,Motor Elétrico Tohatsu Zenith Oceanic 113HP,propulsão,2022-03-16,26303.31
2300,30,95,9,596858.4,2023-01-01,5.34,Motor Diesel Honda Leviathan 133HP,propulsão,2022-11-23,12945.63
4212,9,96,6,402538.75,2023-01-01,5.34,Motor de Popa Tohatsu Boost Swift 126HP,propulsão,2022-09-30,13063.42
3131,28,130,13,53873.0,2023-01-01,5.34,Boia de Arqueamento Delta Zen Boost Vortex,ancoragem,2021-03-22,749.89
4997,23,133,1,1893.0,2023-01-01,5.34,Âncora Bruce Core Pulse,ancoragem,2022-07-06,348.47
3577,14,9,8,317644.0,2023-01-02,5.07,Transponder AIS Titan Pulse,eletrônicos,2022-05-05,7933.96
4286,33,18,7,176706.65,2023-01-02,5.07,Rádio Simrad Axis,eletrônicos,2022-01-25,4834.43
4996,24,29,9,328593.0,2023-01-02,5.07,Rádio Simrad Orca,eletrônicos,2022-03-29,7689.63
3477,18,46,2,9469.6,2023-01-02,5.07,Sonda AIS Magnum Boost,eletrônicos,2022-12-02,959.01
958,18,50,5,56380.0,2023-01-02,5.07,Piloto Automático Simrad Poseidon Magnum,eletrônicos,2020-12-23,2179.61
6175,36,50,13,146588.0,2023-01-02,5.07,Piloto Automático Simrad Poseidon Magnum,eletrônicos,2020-12-23,2179.61
8092,34,55,8,879898.0,2023-01-02,5.07,Motor Diesel Volvo Flow Oceanic 259HP,propulsão,2022-04-14,23326.09
6093,6,64,10,1115056.0,2023-01-02,5.07,Motor Elétrico Yamaha Swift Drift Current 265HP,propulsão,2022-09-06,21352.22
9643,22,65,14,357808.0,2023-01-02,5.07,Motor de Popa Torqeedo Nautic Swift 223HP,propulsão,2022-06-13,5008.66
8156,46,83,12,1617647.0,2023-01-02,5.07,Motor Diesel Yanmar Dash Nitro 184HP,propulsão,2019-01-25,35839.7
2602,35,115,8,6312.75,2023-01-02,5.07,Cabo de Nylon Delta Force Magnum Leviathan,ancoragem,2020-09-11,157.17
4770,28,124,4,14326.0,2023-01-02,5.07,Corrente Delta Axis,ancoragem,2022-12-20,719.16
3932,34,125,9,29088.05,2023-01-02,5.07,Cabo de Nylon Danforth Kinetic,ancoragem,2020-11-17,630.46
8897,37,5,12,284028.0,2023-01-03,5.21,Piloto Automático Furuno Storm,eletrônicos,2022-05-24,4920.79
9894,1,26,15,259248.0,2023-01-03,5.21,Piloto Automático Furuno Core Boost Flux,eletrônicos,2022-03-14,3412.88
1832,5,56,1,42989.0,2023-01-03,5.21,Motor Elétrico Torqeedo Velocity Swift 74HP,propulsão,2022-12-19,8087.59
5215,21,65,4,102231.0,2023-01-03,5.21,Motor de Popa Torqeedo Nautic Swift 223HP,propulsão,2022-06-13,5008.66
1727,40,72,14,1395305.0,2023-01-03,5.21,Motor de Popa Volvo Hydro Dash 256HP,propulsão,2018-03-09,30675.48
4071,28,84,13,564510.0,2023-01-03,5.21,Motor de Popa Torqeedo Zenith Peak Thrust 212HP,propulsão,2021-04-28,8041.61
7564,45,94,14,570512.0,2023-01-03,5.21,Motor de Popa Volvo Magnum 276HP,propulsão,2022-01-07,7181.14
8233,49,99,1,101903.65,2023-01-03,5.21,Motor Elétrico Honda Flux Ultra 273HP,propulsão,2021-07-02,21330.89
